"rInfection_pos","Receptive","Anal_nocondom","College","Subtype","Incidence","Prevalence","Proportion","Window","Shadow","FRR"
0,0,0,0,0,0.00563410106744957,0.0688642109570038,0.0162740899357602,176,95.72,1e-10
0,0,0,0,1,0.00449973199502446,0.11477368492834,0.0171306209850107,186,203.29,0.026
0,0,0,1,0,0.00284590085362845,0.0426267260993193,0.0441113490364026,176,95.72,1e-10
0,0,0,1,1,0.00227290759828989,0.0710445434988656,0.049678800856531,186,203.29,0.026
0,0,1,0,0,0.0266339323188525,0.101120309769578,0.00985010706638116,176,95.72,1e-10
0,0,1,0,1,0.0212714603401156,0.168533849615964,0.00642398286937901,186,203.29,0.026
0,0,1,1,0,0.0134533494898799,0.0625931479897068,0.0526766595289079,176,95.72,1e-10
0,0,1,1,1,0.0107446541010068,0.104321913316178,0.0509635974304069,186,203.29,0.026
0,1,0,0,0,0.0101413819214092,0.111071307995167,0.0154175588865096,176,95.72,1e-10
0,1,0,0,1,0.00809951759104402,0.185118846658612,0.0171306209850107,186,203.29,0.026
0,1,0,1,0,0.0051226215365312,0.0687527840311602,0.0526766595289079,176,95.72,1e-10
0,1,0,1,1,0.00409123367692181,0.114587973385267,0.0445396145610278,186,203.29,0.026
0,1,1,0,0,0.0479410781739345,0.1630972738219,0.0650963597430407,176,95.72,1e-10
0,1,1,0,1,0.0382886286122081,0.271828789703167,0.0680942184154176,186,203.29,0.026
0,1,1,1,0,0.0242160290817839,0.100956690305979,0.176873661670236,176,95.72,1e-10
0,1,1,1,1,0.0193403773818122,0.168261150509965,0.182441113490364,186,203.29,0.026
1,0,0,0,0,0.0148535391778216,0.132378264078313,0.000856531049250535,176,95.72,1e-10
1,0,0,0,1,0.0118629298050645,0.220630440130522,0.00256959314775161,186,203.29,0.026
1,0,0,1,0,0.00750282952320227,0.0819417216279846,0.00428265524625268,176,95.72,1e-10
1,0,0,1,1,0.00599221094094608,0.136569536046641,0.00385438972162741,186,203.29,0.026
1,0,1,0,0,0.070216730658793,0.194384439817597,0.000428265524625268,176,95.72,1e-10
1,0,1,0,1,0.0560793045330321,0.323974066362662,0.000856531049250535,186,203.29,0.026
1,0,1,1,0,0.0354679213824107,0.120323345884959,0.00299785867237687,176,95.72,1e-10
1,0,1,1,1,0.0283268153571996,0.200538909808265,0.00342612419700214,186,203.29,0.026
1,1,0,0,0,0.0267363705200789,0.213513329158569,0.0012847965738758,176,95.72,1e-10
1,1,0,0,1,0.0213532736491161,0.355855548597616,0.00256959314775161,186,203.29,0.026
1,1,0,1,0,0.0135050931417641,0.132164067141911,0.00942184154175589,176,95.72,1e-10
1,1,0,1,1,0.0107859796937029,0.220273445236518,0.00642398286937901,186,203.29,0.026
1,1,1,0,0,0.126390115185827,0.313523290028383,0.0167023554603854,176,95.72,1e-10
1,1,1,0,1,0.100942748159458,0.522538816713971,0.011134903640257,186,203.29,0.026
1,1,1,1,0,0.0638422584883393,0.194069912717675,0.0308351177730193,176,95.72,1e-10
1,1,1,1,1,0.0509882676429594,0.323449854529459,0.0329764453961456,186,203.29,0.026
